,FileID,paragraphCount,Readability,male,female,TypeTokenRatio,sentimentpos,sentimentneg,sentimentneu,Names,Setting,tensefuture,tensepast,tensepresent,Coordinatingconjunction,PersonalPronoun,PossessivePronoun,Genre
426,426,329,54.97993,25,10,22.71714,0.15043,0.09386,0.75571,102,846.85714,148.42857,570.57143,577.28571,318,786.28571,271.85714,Literary
427,427,160.35714,38.23957,42,8,23.98682,0.11336,0.107,0.77979,116,441.57143,152,804.57143,436.42857,379,726.21429,285.5,Literary
428,428,306.08333,50.1739,40,20,23.49746,0.11308,0.10008,0.78692,151,833.5,143.5,762.41667,512.5,342.75,778.66667,242.08333,Literary
429,429,143.8,42.14412,30,26,28.40346,0.1565,0.0935,0.7499,93,329.4,169.7,763.8,478.8,333.5,744.6,242.9,Literary
430,430,151.1,42.13309,36,11,22.82624,0.1224,0.0597,0.8179,143,552.1,210.7,860,489.5,275.1,1008.9,233.6,Detective and Mystery
431,431,107.16667,42.92977,7,1,22.05875,0.08217,0.09667,0.82117,24,269.83333,114.33333,993.16667,317.83333,352.66667,856.83333,261.16667,Detective and Mystery
432,432,136.33333,29.68455,110,38,30.13393,0.13871,0.09275,0.7685,456,714.375,136.625,817.41667,361.54167,378.79167,718.45833,275.41667,Literary
433,433,129.6,47.73294,30,17,30.75924,0.107,0.0748,0.818,132,357.8,141.2,1081.6,333.2,379.4,846.2,220.6,Literary
434,434,184.1,46.1581,50,27,25.03587,0.1568,0.0894,0.754,154,512.1,175.1,732.5,479.7,453.8,870.4,297.2,Literary
435,435,216.21429,45.62645,43,38,25.12189,0.14636,0.1005,0.75321,174,645.14286,150.85714,332.28571,902,340.5,869.14286,299.78571,Literary
436,436,136.5,41.85083,20,12,25.36905,0.13025,0.07025,0.79975,89,334,143.25,806.5,427,424.75,700.75,200.25,Literary
437,437,179.88889,52.06807,63,20,28.4743,0.11678,0.09956,0.78333,229,504.22222,141.22222,684.33333,563.88889,334.11111,765.55556,227.55556,Literary
